standalone | Starting Airflow Standalone
standalone | Password for the admin user has been previously generated in /home/nix/airflow/simple_auth_manager_passwords.json.generated. Not echoing it here.
standalone | Checking database is initialized
standalone | Database ready
scheduler  | 2026-02-18T13:27:39.991508Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-02-18T13:27:39.992562Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-02-18T13:27:39.992783Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-02-18T13:27:39.992925Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-02-18T13:27:39.993040Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-02-18T13:27:39.993255Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-02-18T13:27:39.993378Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-02-18T13:27:39.991805Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-02-18T13:27:39.991956Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-02-18T13:27:39.992071Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-02-18T13:27:39.992181Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-02-18T13:27:39.992287Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-02-18T13:27:39.999161Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-02-18T13:27:39.999400Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-02-18T13:27:39.999565Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-02-18T13:27:39.999701Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-02-18T13:27:39.999876Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-02-18T13:27:40.000009Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-02-18T13:27:40.002998Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-02-18T13:27:40.003249Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-02-18T13:27:40.003461Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-02-18T13:27:40.003603Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-02-18T13:27:40.003751Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-02-18T13:27:40.003874Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-02-18T13:27:41.357034Z [info     ] Running the uvicorn with:
api-server | Apps: all
api-server | Workers: 1
api-server | Host: 0.0.0.0:8080
api-server | Timeout: 120
api-server | Logfiles: -
api-server | ================================================================= [airflow.cli.commands.api_server_command] loc=api_server_command.py:54
triggerer  | ____________       _____________
triggerer  | ____    |__( )_________  __/__  /________      __
triggerer  | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
triggerer  | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
triggerer  | _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
triggerer  | 2026-02-18T13:27:41.397694Z [info     ] Starting log server on http://[::]:8794 [airflow.utils.serve_logs.core] loc=core.py:50
api-server | /home/nix/smart-retail-analytics/.venv/lib/python3.12/site-packages/airflow/api_fastapi/execution_api/routes/__init__.py:23 DeprecationWarning: 'HTTP_422_UNPROCESSABLE_ENTITY' is deprecated. Use 'HTTP_422_UNPROCESSABLE_CONTENT' instead.
triggerer  | WARNING:  ASGI app factory detected. Using it, but please consider setting the --factory flag explicitly.
triggerer  | INFO:     Started server process [28334]
triggerer  | INFO:     Waiting for application startup.
triggerer  | INFO:     Application startup complete.
triggerer  | INFO:     Uvicorn running on http://:8794 (Press CTRL+C to quit)
scheduler  | ____________       _____________
scheduler  | ____    |__( )_________  __/__  /________      __
scheduler  | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
scheduler  | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
scheduler  | _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
scheduler  | 2026-02-18T13:27:41.988129Z [info     ] Starting log server on http://[::]:8793 [airflow.utils.serve_logs.core] loc=core.py:50
dag-processor | 2026-02-18T13:27:41.994910Z [info     ] Starting the Dag Processor Job [airflow.jobs.dag_processor_job_runner.DagProcessorJobRunner] loc=dag_processor_job_runner.py:59
dag-processor | 2026-02-18T13:27:41.995411Z [info     ] Processing files using up to 2 processes at a time  [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:275
dag-processor | 2026-02-18T13:27:41.995535Z [info     ] Process each file at most once every 30 seconds [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:276
dag-processor | 2026-02-18T13:27:41.999390Z [info     ] DAG bundles loaded: dags-folder, example_dags [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:179
scheduler  | 2026-02-18T13:27:42.010324Z [info     ] Starting the scheduler         [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:1058
dag-processor | 2026-02-18T13:27:42.013653Z [info     ] DAG bundles loaded: dags-folder, example_dags [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:179
dag-processor | 2026-02-18T13:27:42.014182Z [info     ] Checking for new files in bundle dags-folder every 300 seconds [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:286
dag-processor | 2026-02-18T13:27:42.014305Z [info     ] Checking for new files in bundle example_dags every 300 seconds [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:286
scheduler  | 2026-02-18T13:27:42.016990Z [info     ] Loaded executor: :LocalExecutor: [airflow.executors.executor_loader] loc=executor_loader.py:281
dag-processor | 2026-02-18T13:27:42.023908Z [info     ] Refreshing bundle dags-folder  [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:595
dag-processor | 2026-02-18T13:27:42.036903Z [info     ] Searching for files in dags-folder at /home/nix/airflow/dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:651
dag-processor | 2026-02-18T13:27:42.037920Z [info     ] Found 1 files for bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:653
scheduler  | 2026-02-18T13:27:42.048199Z [info     ] Worker starting up pid=28350   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
dag-processor | 2026-02-18T13:27:42.054519Z [info     ] Refreshing bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:595
scheduler  | 2026-02-18T13:27:42.055939Z [info     ] Worker starting up pid=28351   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
dag-processor | 2026-02-18T13:27:42.069778Z [info     ] Searching for files in example_dags at /home/nix/smart-retail-analytics/.venv/lib/python3.12/site-packages/airflow/example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:651
scheduler  | 2026-02-18T13:27:42.069921Z [info     ] Worker starting up pid=28352   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.074592Z [info     ] Worker starting up pid=28354   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.076102Z [info     ] Worker starting up pid=28355   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
triggerer  | 2026-02-18T13:27:42.080606Z [info     ] Starting the triggerer         [airflow.jobs.triggerer_job_runner.TriggererJobRunner] loc=triggerer_job_runner.py:164
scheduler  | 2026-02-18T13:27:42.100282Z [info     ] Worker starting up pid=28357   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.104004Z [info     ] Worker starting up pid=28356   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
dag-processor | 2026-02-18T13:27:42.105020Z [info     ] Found 61 files for bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:653
scheduler  | 2026-02-18T13:27:42.105979Z [info     ] Worker starting up pid=28358   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
dag-processor | 2026-02-18T13:27:42.117743Z [info     ] Adding 62 new files to the front of the queue [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:1007
scheduler  | WARNING:  ASGI app factory detected. Using it, but please consider setting the --factory flag explicitly.
scheduler  | INFO:     Started server process [28349]
scheduler  | INFO:     Waiting for application startup.
scheduler  | INFO:     Application startup complete.
scheduler  | 2026-02-18T13:27:42.121141Z [info     ] Worker starting up pid=28361   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.120894Z [info     ] Worker starting up pid=28360   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | INFO:     Uvicorn running on http://:8793 (Press CTRL+C to quit)
scheduler  | 2026-02-18T13:27:42.141189Z [info     ] Worker starting up pid=28362   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.152044Z [info     ] Worker starting up pid=28367   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.162793Z [info     ] Worker starting up pid=28368   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
dag-processor | /home/nix/smart-retail-analytics/.venv/lib/python3.12/site-packages/airflow/api_fastapi/execution_api/routes/__init__.py:23 DeprecationWarning: 'HTTP_422_UNPROCESSABLE_ENTITY' is deprecated. Use 'HTTP_422_UNPROCESSABLE_CONTENT' instead.
scheduler  | 2026-02-18T13:27:42.172769Z [info     ] Worker starting up pid=28369   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.192694Z [info     ] Worker starting up pid=28370   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.202324Z [info     ] Worker starting up pid=28371   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.208222Z [info     ] Worker starting up pid=28372   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.216830Z [info     ] Worker starting up pid=28373   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
